,occ_brazil,occ_canada,occ_france,occ_germany,occ_italy,occ_mexico,occ_peru,occ_spain,occ_sweden,occ_usa,occ_count_tokens_overall,freq_brazil,tf_idf_brazil,freq_canada,tf_idf_canada,freq_france,tf_idf_france,freq_germany,tf_idf_germany,freq_italy,tf_idf_italy,freq_mexico,tf_idf_mexico,freq_peru,tf_idf_peru,freq_spain,tf_idf_spain,freq_sweden,tf_idf_sweden,freq_usa,tf_idf_usa
tire,0,0,1,0,0,2,0,1,0,0,4,0.0,0.0,0.0,0.0,7.190623427051126e-05,3.1590759605253664e-05,0.0,0.0,0.0,0.0,0.00010814318157240186,4.751083527957853e-05,0.0,0.0,7.464914899970141e-05,3.279581172217547e-05,0.0,0.0,0.0,0.0
titanic,0,0,1,0,0,1,0,0,0,0,2,0.0,0.0,0.0,0.0,7.190623427051126e-05,5.3236692995918886e-05,0.0,0.0,0.0,0.0,5.407159078620093e-05,4.00325883797039e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
titian,0,0,1,0,1,0,0,0,0,0,2,0.0,0.0,0.0,0.0,7.190623427051126e-05,5.3236692995918886e-05,0.0,0.0,0.00018158707100054475,0.00013444029226334554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
title,1,0,0,1,0,3,0,1,2,0,8,9.073586788857636e-05,1.2549015349449367e-05,0.0,0.0,0.0,0.0,0.0001330671989354624,1.8403552650203788e-05,0.0,0.0,0.0001622147723586028,2.2434740699623898e-05,0.0,0.0,7.464914899970141e-05,1.0324178722475475e-05,0.0002578981302385558,3.566800726403133e-05,0.0,0.0
to,2,2,5,0,0,2,0,1,2,0,14,0.00018147173577715272,-1.9006505856095274e-05,0.0004967709885742673,-5.202948361649925e-05,0.0003595311713525563,-3.765562325448084e-05,0.0,-0.0,0.0,-0.0,0.00010814318157240186,-1.132641402833492e-05,0.0,-0.0,7.464914899970141e-05,-7.818404786504404e-06,0.0002578981302385558,-2.7011051068991103e-05,0.0,-0.0
tobacco,2,0,0,0,0,0,0,0,1,2,5,0.00018147173577715272,6.214003825827171e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001289490651192779,4.415508456766039e-05,0.0010723860589812334,0.0003672093091927145
toboggan,0,0,0,1,1,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0001330671989354624,9.851798928732452e-05,0.00018158707100054475,0.00013444029226334554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
today,14,1,19,14,6,19,2,9,15,2,101,0.0012703021504400689,-0.001223210383880033,0.00024838549428713363,-0.00023917751828723732,0.001366218451139714,-0.0013155709415304474,0.0018629407850964737,-0.0017938791271778901,0.0010895224260032686,-0.0010491324008982215,0.0010273602249378177,-0.0009892746341442593,0.0010946907498631637,-0.0010541091282150164,0.0006718423409973126,-0.0006469362643789009,0.0019342359767891683,-0.0018625313126197631,0.0010723860589812334,-0.0010326313014739062
together,4,1,1,2,2,7,0,5,2,0,24,0.00036294347155430543,-0.00012297198314250286,0.00024838549428713363,-8.415761464316468e-05,7.190623427051126e-05,-2.436316650272388e-05,0.0002661343978709248,-9.017127253582994e-05,0.0003631741420010895,-0.00012305013857032176,0.0003785011355034065,-0.00012824320838507986,0.0,-0.0,0.000373245744998507,-0.0001264625845600855,0.0002578981302385558,-8.738067222524333e-05,0.0,-0.0
toil,0,0,1,0,0,0,0,0,1,0,2,0.0,0.0,0.0,0.0,7.190623427051126e-05,5.3236692995918886e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001289490651192779,9.546907665947697e-05,0.0,0.0
